,0
Dehradun_Ahmedabad,1
Dehradun_Bangalore,1
Dehradun_Mumbai,2
Dehradun_Kolkata,1
Dehradun_Delhi,9
Dehradun_Lucknow,1
Delhi_Agartala,1
Delhi_Ahmedabad,14
Delhi_Allahabad,2
Delhi_Amritsar,7
Delhi_Aurangabad,2
Delhi_Bagdogra,3
Delhi_Bangalore,25
Delhi_Bhopal,4
Delhi_Bhubaneswar,8
Delhi_Bikaner,1
Delhi_Mumbai,30
Delhi_Kolkata,16
Delhi_Chandigarh,7
Delhi_Coimbatore,4
Delhi_Dehradun,8
Delhi_Dharamsala,3
Delhi_Dibrugarh,2
Delhi_Gaya,1
Delhi_Goa,15
Delhi_Gorakhpur,3
Delhi_Guwahati,14
Delhi_Hyderabad,18
Delhi_Imphal,2
Delhi_Indore,8
Delhi_Jabalpur,3
Delhi_Jaipur,5
Delhi_Jammu,9
Delhi_Jodhpur,2
Delhi_Kandla,1
Delhi_Kanpur,1
Delhi_Cochin,7
Delhi_Leh,3
Delhi_Lucknow,11
Delhi_Ludhiana,1
Delhi_Chennai,15
Delhi_Madurai,1
Delhi_Nagpur,5
Delhi_Nasik,1
Delhi_Pathankot,1
Delhi_Patna,14
Delhi_Pune,12
Delhi_Raipur,8
Delhi_Rajkot,2
Delhi_Ranchi,7
Delhi_Srinagar,14
Delhi_Surat,4
Delhi_Thiruvananthapuram,2
Delhi_Tirupati,1
Delhi_Udaipur,5
Delhi_Vadodara,3
Delhi_Varanasi,6
Delhi_Vijayawada,3
Delhi_Vishakhapatnam,3
Dharamsala_Chandigarh,1
Dharamsala_Delhi,3
Dibrugarh_Bagdogra,1
Dibrugarh_Kolkata,3
Dibrugarh_Delhi,2
Dibrugarh_Guwahati,1
Dimapur_Kolkata,2
Diu_Mumbai,1
Gaya_Delhi,1
Goa_Ahmedabad,5
Goa_Bangalore,9
Goa_Mumbai,18
Goa_Kolkata,2
Goa_Chandigarh,1
Goa_Delhi,15
Goa_Hyderabad,8
Goa_Indore,1
Goa_Lucknow,1
Goa_Chennai,2
Goa_Mysore,1
Goa_Nagpur,1
Goa_Surat,1
Gorakhpur_Allahabad,1
Gorakhpur_Mumbai,3
Gorakhpur_Kolkata,1
Gorakhpur_Delhi,3
Gorakhpur_Hyderabad,1
Guwahati_Agartala,1
Guwahati_Bagdogra,1
Guwahati_Bangalore,5
Guwahati_Mumbai,3
Guwahati_Kolkata,9
Guwahati_Delhi,12
Guwahati_Dibrugarh,1
Guwahati_Hyderabad,1
Guwahati_Imphal,4
Guwahati_Jaipur,2
Guwahati_Chennai,2
Guwahati_Pasighat,1
Guwahati_Patna,1
Guwahati_Silchar,1
Gwalior_Ahmedabad,1
Gwalior_Hyderabad,1
Hubli_Bangalore,3
Hubli_Mumbai,1
Hubli_Chennai,1
Hyderabad_Ahmedabad,5
Hyderabad_Aurangabad,1
Hyderabad_Bagdogra,1
Hyderabad_Bangalore,12
Hyderabad_Belgaum,3
Hyderabad_Bhopal,1
Hyderabad_Bhubaneswar,3
Hyderabad_Mumbai,9
Hyderabad_Kolkata,11
Hyderabad_Chandigarh,1
Hyderabad_Coimbatore,2
Hyderabad_Cuddapah,1
Hyderabad_Delhi,17
Hyderabad_Goa,5
